apartment_id,price_usd,total_area,living_area,kitchen_area,floor,floors_count,rooms_count,district,wall_type,latitude,longitude
34086914,350000,162.0,67.0,40.0,8,25,4,Зверинец,кирпич,50.40790633,30.55521974
34086845,50000,46.0,30.0,8.0,6,9,2,Соломенский,кирпич,50.44348312,30.41041023
34082011,54000,45.0,28.0,7.0,2,5,2,Сырец,кирпич,50.47722713,30.43632608
34086818,74500,74.5,41.8,8.2,6,15,3,Деснянский,кирпич,50.51772273,30.59443462
34086833,75000,45.0,28.0,8.0,8,16,2,Голосеевский,,50.36828804,30.45359633
34086296,210000,124.9,78.4,12.1,18,25,4,Подол,монолитно-каркасный,50.50283707537474,30.422004150053
34086794,79999,50.0,26.3,14.0,20,25,1,Дарницкий,монолит,50.41788484,30.63255247
34086791,105000,37.0,19.5,5.0,7,26,1,Дарницкий,кирпич,50.41309944,30.60000686
34086795,65000,47.0,24.8,7.0,6,9,2,Дарницкий,панель,50.42317138,30.67243312
34086792,74000,68.7,36.2,7.6,10,10,3,Дарницкий,панель,50.40751499,30.6315562
34086790,89000,69.8,36.8,9.0,6,9,3,Дарницкий,кирпич,50.42556401,30.67140605
34086789,80000,71.25,37.5,8.3,11,16,3,Дарницкий,панель,50.41142056,30.63445637
33947659,67000,38.6,17.9,8.5,15,16,1,Осокорки,панель,50.39274855,30.64092729
34086748,140000,82.2,45.5,12.1,12,16,3,Подольский,керамический блок,50.48492289,30.4148515
34086651,140000,52.3,21.6,14.5,23,36,1,Шулявка,кирпич,50.4481269,30.4789911
34086654,140000,52.3,21.6,14.5,23,36,1,Шулявка,кирпич,50.4481269,30.4789911
34086655,140000,52.3,21.6,14.5,23,36,1,Шулявка,кирпич,50.4481269,30.4789911
34086656,140000,52.3,21.6,14.5,23,36,1,Шулявка,кирпич,50.4481269,30.4789911
34086660,140000,52.3,21.6,14.5,23,36,1,Шулявка,кирпич,50.4481269,30.4789911
34086657,140000,52.3,21.6,14.5,23,36,1,Шулявка,кирпич,50.4481269,30.4789911
34086649,41000,28.0,21.0,4.0,3,5,1,Соцгород,панель,50.4497349,30.62678105
34086614,85000,55.0,15.0,24.0,6,10,1,Подольский,кирпич,50.48048466,30.53422528
34086603,155000,73.4,30.9,24.1,10,26,2,Кудрявец,монолитно-каркасный,50.46105627,30.49170805
34086578,54000,33.36,14.0,10.0,14,24,1,Подольский,керамический блок,50.48677775,30.41354863
34086604,155000,73.4,30.9,24.1,10,26,2,Кудрявец,монолитно-каркасный,50.46105627,30.49170805
34086607,155000,73.4,30.9,24.1,10,26,2,Кудрявец,монолитно-каркасный,50.46105627,30.49170805
34086605,155000,73.4,30.9,24.1,10,26,2,Кудрявец,монолитно-каркасный,50.46105627,30.49170805
34086606,155000,73.4,30.9,24.1,10,26,2,Кудрявец,монолитно-каркасный,50.46105627,30.49170805
34086574,80000,38.0,17.2,7.5,22,25,1,Позняки,керамзитобетон,50.40607234,30.6382279
28714816,108800,48.52,17.86,16.23,22,24,1,Подольский,газоблок,50.48607944,30.41352669
34086406,59800,45.05,19.33,11.25,4,25,1,Приорка,железобетон,50.51116021510552,30.467582620073017
34074113,68000,73.0,31.4,11.5,14,25,2,Дарницкий,,50.41077172,30.61655961
34085640,27000,36.0,15.0,12.0,3,4,1,Бортничи,монолитно-каркасный,50.38864968,30.6777027
34082924,990000,324.2,165.9,20.4,26,26,3,Оболонь,,50.49872119,30.49735311
34082808,27700,28.2,13.2,5.4,1,9,1,Борщаговка,кирпич,50.41792947,30.39744672
34082410,84000,31.8,16.9,8.2,6,10,1,Шулявка,кирпич,50.44822574,30.46405527
34085345,82000,39.5,18.5,11.0,7,16,1,Оболонь,панель,50.50840360146282,30.49733758034131
34086509,145000,78.0,41.1,30.0,17,22,2,Голосеевский,монолитно-кирпичный,50.38432278,30.45595308
34086285,47000,34.3,18.0,9.0,4,9,1,Вышгородский Массив,панель,50.50761084485268,30.45743390260222
